"","police_beat","year","injured","killed","accidents","Neighborhood"
"1","003","2015",0,0,1,NA
"2","020","2015",1,0,1,NA
"3","020","2016",0,0,1,NA
"4","021","2015",3,0,3,NA
"5","021","2016",3,0,2,NA
"6","021","2017",0,0,1,NA
"7","055","2017",0,0,1,NA
"8","0P2","2015",0,0,1,NA
"9","0SD","2015",0,0,1,NA
"10","111","2015",84,0,174,"Clairemont Mesa East"
"11","111","2016",97,1,162,"Clairemont Mesa East"
"12","111","2017",59,0,80,"Clairemont Mesa East"
"13","112","2015",44,0,62,"Clairemont Mesa West"
"14","112","2016",30,0,45,"Clairemont Mesa West"
"15","112","2017",11,0,19,"Clairemont Mesa West"
"16","113","2015",36,3,56,"Bay Ho"
"17","113","2016",62,3,79,"Bay Ho"
"18","113","2017",15,0,21,"Bay Ho"
"19","114","2015",81,0,121,"North Clairemont"
"20","114","2016",63,0,103,"North Clairemont"
"21","114","2017",31,0,37,"North Clairemont"
"22","115","2015",145,1,273,"University City"
"23","115","2016",143,0,256,"University City"
"24","115","2017",61,0,99,"University City"
"25","116","2015",53,1,109,"Bay Park"
"26","116","2016",39,0,97,"Bay Park"
"27","116","2017",17,0,32,"Bay Park"
"28","121","2015",56,1,92,"Mission Beach"
"29","121","2016",45,3,100,"Mission Beach"
"30","121","2017",7,0,36,"Mission Beach"
"31","122","2015",275,1,549,"Pacific Beach"
"32","122","2016",842,1,559,"Pacific Beach"
"33","122","2017",124,0,228,"Pacific Beach"
"34","123","2015",86,5,121,"Mission Bay Park"
"35","123","2016",111,3,125,"Mission Bay Park"
"36","123","2017",41,0,58,"Mission Bay Park"
"37","124","2015",174,1,309,"La Jolla"
"38","124","2016",183,3,304,"La Jolla"
"39","124","2017",53,0,119,"La Jolla"
"40","126","2015",39,0,52,"Torrey Pines"
"41","126","2016",38,0,44,"Torrey Pines"
"42","126","2017",18,0,25,"Torrey Pines"
"43","175","2016",1,0,1,NA
"44","221","2015",0,0,1,NA
"45","231","2015",27,0,34,"Sabre Springs"
"46","231","2016",35,1,41,"Sabre Springs"
"47","231","2017",11,0,16,"Sabre Springs"
"48","232","2015",47,1,89,"Carmel Mountain"
"49","232","2016",59,0,86,"Carmel Mountain"
"50","232","2017",21,0,39,"Carmel Mountain"
"51","233","2015",84,0,136,"Rancho Penasquitos"
"52","233","2016",70,2,133,"Rancho Penasquitos"
"53","233","2017",16,0,42,"Rancho Penasquitos"
"54","234","2015",115,2,149,"Rancho Bernardo"
"55","234","2016",137,0,171,"Rancho Bernardo"
"56","234","2017",59,1,72,"Rancho Bernardo"
"57","235","2015",42,0,40,"San Pasqual"
"58","235","2016",55,1,41,"San Pasqual"
"59","235","2017",20,1,14,"San Pasqual"
"60","241","2015",66,0,92,"Scripps Ranch"
"61","241","2016",52,2,85,"Scripps Ranch"
"62","241","2017",25,0,31,"Scripps Ranch"
"63","242","2015",216,3,328,"Mira Mesa"
"64","242","2016",194,3,335,"Mira Mesa"
"65","242","2017",91,3,146,"Mira Mesa"
"66","243","2015",121,0,141,"Miramar"
"67","243","2016",85,1,106,"Miramar"
"68","243","2017",52,0,59,"Miramar"
"69","245","2015",2,0,4,"Rancho Encantada"
"70","245","2016",2,0,3,"Rancho Encantada"
"71","246","2015",50,1,47,"Miramar Ranch North"
"72","246","2016",53,0,54,"Miramar Ranch North"
"73","246","2017",9,0,14,"Miramar Ranch North"
"74","253","2016",0,0,1,NA
"75","311","2015",66,2,133,"Serra Mesa"
"76","311","2016",71,1,143,"Serra Mesa"
"77","311","2017",19,1,38,"Serra Mesa"
"78","312","2015",44,0,65,"Tierrasanta"
"79","312","2016",56,3,82,"Tierrasanta"
"80","312","2017",17,1,24,"Tierrasanta"
"81","313","2015",241,1,369,"Kearny Mesa"
"82","313","2016",206,2,313,"Kearny Mesa"
"83","313","2017",74,1,137,"Kearny Mesa"
"84","314","2015",21,1,56,"Birdland"
"85","314","2016",20,1,44,"Birdland"
"86","314","2017",14,0,28,"Birdland"
"87","315","2015",115,0,275,"Mission Valley East"
"88","315","2016",146,0,261,"Mission Valley East"
"89","315","2017",54,0,97,"Mission Valley East"
"90","316","2015",3,0,9,"Qualcomm"
"91","316","2016",5,0,15,"Qualcomm"
"92","316","2017",4,0,3,"Qualcomm"
"93","321","2015",76,0,124,"Grantville"
"94","321","2016",66,0,119,"Grantville"
"95","321","2017",28,0,50,"Grantville"
"96","322","2015",24,0,44,"Allied Gardens"
"97","322","2016",19,0,45,"Allied Gardens"
"98","322","2017",9,0,16,"Allied Gardens"
"99","323","2015",22,0,38,"Del Cerro"
"100","323","2016",19,0,29,"Del Cerro"
"101","323","2017",7,0,15,"Del Cerro"
"102","324","2015",41,2,59,"Lake Murray"
"103","324","2016",52,1,66,"Lake Murray"
"104","324","2017",10,0,19,"Lake Murray"
"105","325","2015",31,0,49,"San Carlos"
"106","325","2016",28,2,48,"San Carlos"
"107","325","2017",13,0,17,"San Carlos"
"108","326","2015",51,0,80,"College West"
"109","326","2016",46,1,86,"College West"
"110","326","2017",24,0,40,"College West"
"111","327","2015",44,1,65,"College East"
"112","327","2016",33,1,65,"College East"
"113","327","2017",15,0,26,"College East"
"114","404","2016",1,0,1,NA
"115","406","2015",0,0,1,NA
"116","419","2017",0,0,1,NA
"117","431","2015",14,0,19,"Emerald Hills"
"118","431","2016",19,0,34,"Emerald Hills"
"119","431","2017",5,0,10,"Emerald Hills"
"120","432","2015",54,0,62,"Valencia Park"
"121","432","2016",33,0,68,"Valencia Park"
"122","432","2017",27,0,30,"Valencia Park"
"123","433","2015",44,0,67,"Encanto"
"124","433","2016",38,1,67,"Encanto"
"125","433","2017",18,0,24,"Encanto"
"126","434","2015",22,1,28,"Jamacha/Lomita"
"127","434","2016",19,0,24,"Jamacha/Lomita"
"128","434","2017",11,0,19,"Jamacha/Lomita"
"129","435","2015",3,0,4,"Broadway Heights"
"130","435","2016",0,0,6,"Broadway Heights"
"131","435","2017",0,0,1,"Broadway Heights"
"132","436","2015",30,0,42,"Skyline"
"133","436","2016",17,0,34,"Skyline"
"134","436","2017",16,0,20,"Skyline"
"135","437","2015",53,1,105,"Bay Terraces"
"136","437","2016",53,0,96,"Bay Terraces"
"137","437","2017",44,0,58,"Bay Terraces"
"138","438","2015",32,0,52,"Paradise Hills"
"139","438","2016",26,0,59,"Paradise Hills"
"140","438","2017",9,1,28,"Paradise Hills"
"141","439","2015",4,0,5,"Alta Vista"
"142","439","2016",5,0,7,"Alta Vista"
"143","439","2017",1,0,2,"Alta Vista"
"144","441","2015",86,1,138,"Mountain View"
"145","441","2016",86,0,145,"Mountain View"
"146","441","2017",25,0,63,"Mountain View"
"147","442","2015",17,0,40,"Southcrest"
"148","442","2016",22,0,49,"Southcrest"
"149","442","2017",14,0,16,"Southcrest"
"150","443","2015",23,0,32,"Shelltown"
"151","443","2016",19,0,27,"Shelltown"
"152","443","2017",7,0,13,"Shelltown"
"153","444","2015",24,0,52,"Mt. Hope"
"154","444","2016",39,0,51,"Mt. Hope"
"155","444","2017",11,0,19,"Mt. Hope"
"156","445","2015",50,0,67,"Chollas View"
"157","445","2016",45,0,59,"Chollas View"
"158","445","2017",15,0,18,"Chollas View"
"159","446","2015",84,1,119,"Lincoln Park"
"160","446","2016",86,1,113,"Lincoln Park"
"161","446","2017",33,1,41,"Lincoln Park"
"162","447","2015",30,0,53,"Ridgeview/Webster"
"163","447","2016",35,0,56,"Ridgeview/Webster"
"164","447","2017",20,0,33,"Ridgeview/Webster"
"165","451","2015",81,0,126,"Oak Park"
"166","451","2016",79,0,113,"Oak Park"
"167","451","2017",44,0,58,"Oak Park"
"168","452","2015",24,0,33,"O'Farrell"
"169","452","2016",14,0,32,"O'Farrell"
"170","452","2017",4,0,11,"O'Farrell"
"171","500","2015",0,0,1,NA
"172","501","2015",0,0,1,NA
"173","502","2015",0,0,2,NA
"174","503","2015",0,0,2,NA
"175","505","2015",0,0,1,NA
"176","509","2015",0,0,1,NA
"177","509","2017",1,0,1,NA
"178","511","2015",83,0,145,"Barrio Logan"
"179","511","2016",70,1,123,"Barrio Logan"
"180","511","2017",26,0,47,"Barrio Logan"
"181","512","2015",49,1,107,"Logan Heights"
"182","512","2016",69,1,124,"Logan Heights"
"183","512","2017",36,0,49,"Logan Heights"
"184","514","2015",13,0,28,"Sherman Heights"
"185","514","2016",30,0,46,"Sherman Heights"
"186","514","2017",11,0,17,"Sherman Heights"
"187","515","2015",23,0,35,"Grant Hill"
"188","515","2016",13,0,33,"Grant Hill"
"189","515","2017",13,0,23,"Grant Hill"
"190","516","2015",28,0,43,"Stockton"
"191","516","2016",14,0,30,"Stockton"
"192","516","2017",7,0,12,"Stockton"
"193","517","2015",28,0,82,"Golden Hill"
"194","517","2016",30,0,63,"Golden Hill"
"195","517","2017",11,0,23,"Golden Hill"
"196","518","2015",5,0,22,"South Park"
"197","518","2016",15,0,29,"South Park"
"198","518","2017",1,0,5,"South Park"
"199","521","2015",130,0,221,"East Village"
"200","521","2016",113,0,206,"East Village"
"201","521","2017",93,0,134,"East Village"
"202","522","2015",20,0,44,"Marina"
"203","522","2016",29,0,53,"Marina"
"204","522","2017",8,0,13,"Marina"
"205","523","2015",15,0,48,"Gaslamp"
"206","523","2016",25,0,64,"Gaslamp"
"207","523","2017",3,0,13,"Gaslamp"
"208","524","2015",111,0,184,"Core-Columbia"
"209","524","2016",135,1,182,"Core-Columbia"
"210","524","2017",33,0,75,"Core-Columbia"
"211","525","2015",12,0,31,"Horton Plaza"
"212","525","2016",10,0,21,"Horton Plaza"
"213","525","2017",4,0,12,"Horton Plaza"
"214","526","2015",38,0,65,"Cortez"
"215","526","2016",39,0,66,"Cortez"
"216","526","2017",21,0,25,"Cortez"
"217","527","2015",18,0,38,"Harborview"
"218","527","2016",15,1,29,"Harborview"
"219","527","2017",13,0,15,"Harborview"
"220","528","2015",25,0,59,"Little Italy"
"221","528","2016",18,0,43,"Little Italy"
"222","528","2017",9,0,20,"Little Italy"
"223","529","2015",62,2,90,"Park West"
"224","529","2016",63,2,88,"Park West"
"225","529","2017",26,0,40,"Park West"
"226","531","2015",26,0,58,"Balboa Park"
"227","531","2016",22,0,46,"Balboa Park"
"228","531","2017",11,0,25,"Balboa Park"
"229","541","2015",8,0,14,"Petco Park"
"230","541","2016",0,0,3,"Petco Park"
"231","541","2017",3,0,5,"Petco Park"
"232","601","2016",0,0,1,NA
"233","611","2015",149,0,257,"Midway District"
"234","611","2016",134,1,241,"Midway District"
"235","611","2017",52,0,85,"Midway District"
"236","612","2015",17,0,38,"Loma Portal"
"237","612","2016",14,0,32,"Loma Portal"
"238","612","2017",11,0,14,"Loma Portal"
"239","613","2015",76,88,144,"Point Loma Heights"
"240","613","2016",64,0,121,"Point Loma Heights"
"241","613","2017",31,0,50,"Point Loma Heights"
"242","614","2015",101,1,231,"Ocean Beach"
"243","614","2016",79,0,183,"Ocean Beach"
"244","614","2017",20,0,76,"Ocean Beach"
"245","615","2015",50,2,71,"Roseville/Fleet Ridge"
"246","615","2016",38,0,73,"Roseville/Fleet Ridge"
"247","615","2017",11,0,21,"Roseville/Fleet Ridge"
"248","616","2015",7,1,11,"La Playa"
"249","616","2016",4,0,8,"La Playa"
"250","616","2017",1,0,4,"La Playa"
"251","617","2015",1,1,12,"Wooded Area"
"252","617","2016",7,0,9,"Wooded Area"
"253","617","2017",1,0,2,"Wooded Area"
"254","618","2015",17,0,20,"Sunset Cliffs"
"255","618","2016",7,0,13,"Sunset Cliffs"
"256","618","2017",3,0,7,"Sunset Cliffs"
"257","621","2015",75,1,146,"Linda Vista"
"258","621","2016",75,1,133,"Linda Vista"
"259","621","2017",17,0,45,"Linda Vista"
"260","622","2015",41,2,91,"Morena"
"261","622","2016",46,1,93,"Morena"
"262","622","2017",16,0,40,"Morena"
"263","623","2015",38,1,113,"Mission Valley West"
"264","623","2016",21,0,83,"Mission Valley West"
"265","623","2017",15,0,41,"Mission Valley West"
"266","624","2015",57,0,96,"University Heights"
"267","624","2016",50,0,93,"University Heights"
"268","624","2017",29,0,47,"University Heights"
"269","625","2015",30,0,61,"Old Town"
"270","625","2016",23,0,42,"Old Town"
"271","625","2017",10,0,20,"Old Town"
"272","626","2015",27,1,52,"Mission Hills"
"273","626","2016",9,0,33,"Mission Hills"
"274","626","2017",9,1,22,"Mission Hills"
"275","627","2015",117,1,276,"Hillcrest"
"276","627","2016",96,1,255,"Hillcrest"
"277","627","2017",35,0,95,"Hillcrest"
"278","628","2015",21,0,57,"Midtown"
"279","628","2016",34,0,63,"Midtown"
"280","628","2017",7,1,22,"Midtown"
"281","711","2015",6,0,6,"Tijuana River Valley"
"282","711","2016",1,0,9,"Tijuana River Valley"
"283","711","2017",8,0,4,"Tijuana River Valley"
"284","712","2015",80,0,130,"San Ysidro"
"285","712","2016",92,1,140,"San Ysidro"
"286","712","2017",24,0,44,"San Ysidro"
"287","713","2015",42,0,63,"Otay Mesa"
"288","713","2016",34,0,48,"Otay Mesa"
"289","713","2017",19,0,22,"Otay Mesa"
"290","714","2015",5,0,18,"Border"
"291","714","2016",7,0,14,"Border"
"292","714","2017",1,0,5,"Border"
"293","721","2015",61,1,81,"Egger Highlands"
"294","721","2016",48,0,84,"Egger Highlands"
"295","721","2017",17,1,32,"Egger Highlands"
"296","722","2015",28,0,47,"Nestor"
"297","722","2016",30,0,78,"Nestor"
"298","722","2017",14,0,19,"Nestor"
"299","723","2015",61,1,105,"Otay Mesa West"
"300","723","2016",81,1,116,"Otay Mesa West"
"301","723","2017",30,0,43,"Otay Mesa West"
"302","724","2015",28,0,38,"Palm City"
"303","724","2016",27,5,40,"Palm City"
"304","724","2017",5,0,8,"Palm City"
"305","725","2015",30,0,48,"Ocean Crest"
"306","725","2016",34,0,44,"Ocean Crest"
"307","725","2017",15,0,21,"Ocean Crest"
"308","727","2015",1,0,1,NA
"309","811","2015",40,0,71,"Normal Heights"
"310","811","2016",31,0,70,"Normal Heights"
"311","811","2017",14,0,40,"Normal Heights"
"312","812","2015",0,0,1,"Burlingame"
"313","812","2016",0,0,2,"Burlingame"
"314","812","2017",1,0,2,"Burlingame"
"315","813","2015",134,0,303,"North Park"
"316","813","2016",147,1,338,"North Park"
"317","813","2017",64,0,143,"North Park"
"318","814","2015",22,0,37,"Adams North"
"319","814","2016",22,0,38,"Adams North"
"320","814","2017",2,0,7,"Adams North"
"321","821","2015",53,0,93,"Rolando"
"322","821","2016",47,0,95,"Rolando"
"323","821","2017",16,0,37,"Rolando"
"324","822","2015",87,0,108,"El Cerrito"
"325","822","2016",67,0,115,"El Cerrito"
"326","822","2017",41,0,44,"El Cerrito"
"327","823","2015",17,1,31,"Redwood Village"
"328","823","2016",8,0,19,"Redwood Village"
"329","823","2017",6,0,17,"Redwood Village"
"330","824","2015",58,2,113,"Talmadge"
"331","824","2016",72,2,118,"Talmadge"
"332","824","2017",21,0,33,"Talmadge"
"333","825","2015",53,0,73,"Kensington"
"334","825","2016",36,1,75,"Kensington"
"335","825","2017",16,0,36,"Kensington"
"336","826","2015",49,0,76,"Colina del Sol"
"337","826","2016",46,1,105,"Colina del Sol"
"338","826","2017",26,0,40,"Colina del Sol"
"339","827","2015",12,1,30,"Chollas Creek"
"340","827","2016",10,0,31,"Chollas Creek"
"341","827","2017",7,0,17,"Chollas Creek"
"342","828","2015",10,0,18,"Fox Canyon"
"343","828","2016",10,0,13,"Fox Canyon"
"344","828","2017",3,0,10,"Fox Canyon"
"345","831","2015",65,1,100,"Teralta East"
"346","831","2016",50,0,94,"Teralta East"
"347","831","2017",15,0,24,"Teralta East"
"348","832","2015",63,0,100,"Teralta West"
"349","832","2016",57,0,88,"Teralta West"
"350","832","2017",15,0,21,"Teralta West"
"351","833","2015",18,0,54,"Fairmount Village"
"352","833","2016",24,0,58,"Fairmount Village"
"353","833","2017",3,0,18,"Fairmount Village"
"354","834","2015",26,0,68,"Castle"
"355","834","2016",34,0,65,"Castle"
"356","834","2017",11,0,27,"Castle"
"357","835","2015",39,0,45,"Azalea/Hollywood Park"
"358","835","2016",33,0,34,"Azalea/Hollywood Park"
"359","835","2017",13,0,18,"Azalea/Hollywood Park"
"360","836","2015",21,0,32,"Swan Canyon"
"361","836","2016",11,0,29,"Swan Canyon"
"362","836","2017",4,0,12,"Swan Canyon"
"363","837","2015",16,0,27,"Fairmount Park"
"364","837","2016",13,0,23,"Fairmount Park"
"365","837","2017",3,0,7,"Fairmount Park"
"366","838","2015",34,0,63,"Corridor"
"367","838","2016",34,6,70,"Corridor"
"368","838","2017",18,0,36,"Corridor"
"369","839","2015",8,0,31,"Cherokee Point"
"370","839","2016",7,0,29,"Cherokee Point"
"371","839","2017",5,0,8,"Cherokee Point"
"372","841","2015",4,0,22,"Rolando Park"
"373","841","2016",13,0,20,"Rolando Park"
"374","841","2017",7,0,16,"Rolando Park"
"375","872","2015",0,0,1,NA
"376","901","2015",1,0,1,NA
"377","908","2015",0,0,1,NA
"378","908","2016",0,0,2,NA
"379","931","2015",120,0,151,"Sorrento Valley"
"380","931","2016",135,3,139,"Sorrento Valley"
"381","931","2017",51,0,47,"Sorrento Valley"
"382","932","2015",11,0,14,"Torrey Preserve"
"383","932","2016",16,0,15,"Torrey Preserve"
"384","932","2017",4,0,5,"Torrey Preserve"
"385","933","2015",16,0,28,"Del Mar Heights"
"386","933","2016",32,0,25,"Del Mar Heights"
"387","933","2017",5,0,12,"Del Mar Heights"
"388","934","2015",99,2,159,"Carmel Valley"
"389","934","2016",102,0,137,"Carmel Valley"
"390","934","2017",56,0,62,"Carmel Valley"
"391","935","2015",30,2,39,"North City"
"392","935","2016",31,0,40,"North City"
"393","935","2017",10,0,15,"North City"
"394","936","2015",15,2,18,"Torrey Highlands"
"395","936","2016",21,0,22,"Torrey Highlands"
"396","936","2017",7,0,9,"Torrey Highlands"
"397","937","2015",22,0,37,"Black Mountain Ranch"
"398","937","2016",26,1,34,"Black Mountain Ranch"
"399","937","2017",17,0,18,"Black Mountain Ranch"
"400","999","2015",7,0,22,NA
"401","999","2016",9,0,24,NA
"402","999","2017",1,0,5,NA
